shipment_id,donor_hospital,donor_lat,donor_lng,organ_type,export_time,recipient_hospital,recipient_lat,recipient_lng,transport_type
28,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,Kidney,2026-02-12 20:58:46,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,ambulance
29,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,Heart,2026-02-12 21:26:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,flight
30,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,Kidney,2026-02-12 21:51:46,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,ambulance
31,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,Liver,2026-02-12 13:27:46,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,flight
32,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,Heart,2026-02-13 03:54:46,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,ambulance
33,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,Liver,2026-02-12 16:41:46,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,flight
34,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,Liver,2026-02-14 04:31:46,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,ambulance
35,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,Kidney,2026-02-13 22:22:46,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,ambulance
36,Singapore General Hospital (Singapore),1.278,103.834,Kidney,2026-02-12 21:23:46,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,helicopter
37,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,Liver,2026-02-13 11:11:46,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,flight
38,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,Liver,2026-02-13 20:30:46,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,ambulance
39,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,Kidney,2026-02-13 12:20:46,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,flight
40,"West China Hospital (Chengdu, China)",30.65,104.0656,Liver,2026-02-14 10:17:46,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,helicopter
41,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,Lung,2026-02-12 21:31:46,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,helicopter
42,"West China Hospital (Chengdu, China)",30.65,104.0656,Kidney,2026-02-14 03:09:46,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,helicopter
43,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,Liver,2026-02-13 03:02:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,helicopter
44,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,Heart,2026-02-13 04:55:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,ambulance
45,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,Heart,2026-02-14 10:58:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,ambulance
46,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,Lung,2026-02-13 23:03:46,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,flight
47,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,Kidney,2026-02-14 07:21:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,flight
48,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,Heart,2026-02-12 18:56:46,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,flight
49,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,Heart,2026-02-13 05:52:46,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,flight
50,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,Kidney,2026-02-12 12:55:46,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,helicopter
51,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,Liver,2026-02-14 01:31:46,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,ambulance
52,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,Liver,2026-02-13 07:54:46,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,flight
53,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,Liver,2026-02-14 00:46:46,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,helicopter
54,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,Liver,2026-02-13 02:22:46,"West China Hospital (Chengdu, China)",30.65,104.0656,flight
55,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,Liver,2026-02-13 20:15:46,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,flight
56,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,Kidney,2026-02-14 06:20:46,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,ambulance
57,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,Liver,2026-02-13 10:55:46,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,flight
58,"West China Hospital (Chengdu, China)",30.65,104.0656,Kidney,2026-02-13 10:22:46,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,helicopter
59,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,Kidney,2026-02-13 07:51:46,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,ambulance
60,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,Kidney,2026-02-12 16:20:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,helicopter
61,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,Kidney,2026-02-12 17:57:46,Singapore General Hospital (Singapore),1.278,103.834,ambulance
62,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,Lung,2026-02-14 08:07:46,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,helicopter
63,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,Kidney,2026-02-13 01:12:46,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,helicopter
64,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,Lung,2026-02-14 04:27:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,ambulance
65,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,Kidney,2026-02-13 06:20:46,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,flight
66,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,Heart,2026-02-13 13:04:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,helicopter
67,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,Kidney,2026-02-13 23:19:46,"West China Hospital (Chengdu, China)",30.65,104.0656,flight
68,"West China Hospital (Chengdu, China)",30.65,104.0656,Lung,2026-02-13 19:15:46,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,helicopter
69,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,Heart,2026-02-14 10:18:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,ambulance
70,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,Lung,2026-02-13 22:49:46,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,ambulance
71,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,Kidney,2026-02-13 19:26:46,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,ambulance
72,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,Lung,2026-02-14 11:37:46,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,helicopter
73,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,Liver,2026-02-12 12:52:46,"West China Hospital (Chengdu, China)",30.65,104.0656,helicopter
74,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,Liver,2026-02-13 20:22:46,"West China Hospital (Chengdu, China)",30.65,104.0656,helicopter
75,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,Lung,2026-02-13 09:19:46,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,ambulance
76,Singapore General Hospital (Singapore),1.278,103.834,Liver,2026-02-14 08:40:46,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,helicopter
77,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,Liver,2026-02-13 17:54:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,helicopter
78,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,Liver,2026-02-13 20:55:46,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,helicopter
79,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,Liver,2026-02-13 21:45:46,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,helicopter
80,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,Liver,2026-02-12 11:29:46,"West China Hospital (Chengdu, China)",30.65,104.0656,flight
81,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,Liver,2026-02-14 05:36:46,"West China Hospital (Chengdu, China)",30.65,104.0656,flight
82,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,Heart,2026-02-12 16:36:46,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,flight
83,Singapore General Hospital (Singapore),1.278,103.834,Liver,2026-02-13 13:49:46,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,ambulance
84,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,Heart,2026-02-13 18:11:46,"West China Hospital (Chengdu, China)",30.65,104.0656,helicopter
85,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,Kidney,2026-02-14 08:37:46,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,helicopter
86,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,Liver,2026-02-14 02:42:46,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,ambulance
87,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,Liver,2026-02-13 04:48:46,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,helicopter
88,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,Lung,2026-02-14 04:04:46,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,helicopter
89,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,Kidney,2026-02-13 18:07:46,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,ambulance
90,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,Lung,2026-02-13 15:27:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,helicopter
91,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,Liver,2026-02-13 04:43:46,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,helicopter
92,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,Kidney,2026-02-13 23:57:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,ambulance
93,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,Heart,2026-02-14 01:59:46,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,ambulance
94,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,Liver,2026-02-12 14:36:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,helicopter
95,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,Liver,2026-02-14 02:59:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,ambulance
96,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,Kidney,2026-02-14 03:31:46,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,helicopter
97,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,Lung,2026-02-12 22:21:46,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,helicopter
98,Singapore General Hospital (Singapore),1.278,103.834,Liver,2026-02-14 09:18:46,"West China Hospital (Chengdu, China)",30.65,104.0656,helicopter
99,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,Kidney,2026-02-12 14:57:46,Singapore General Hospital (Singapore),1.278,103.834,ambulance
100,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,Kidney,2026-02-12 14:29:46,Singapore General Hospital (Singapore),1.278,103.834,flight
101,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,Heart,2026-02-14 05:36:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,flight
102,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,Lung,2026-02-13 10:51:46,"West China Hospital (Chengdu, China)",30.65,104.0656,flight
103,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,Liver,2026-02-13 05:50:46,"King Faisal Specialist Hospital (Riyadh, KSA)",24.7136,46.6753,flight
104,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,Lung,2026-02-13 15:10:46,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,helicopter
105,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,Heart,2026-02-13 07:10:46,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,flight
106,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,Lung,2026-02-13 10:02:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,helicopter
107,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,Kidney,2026-02-14 08:43:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,ambulance
108,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,Lung,2026-02-13 21:32:46,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,ambulance
109,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,Liver,2026-02-12 23:13:46,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,ambulance
110,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,Heart,2026-02-13 09:42:46,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,helicopter
111,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,Kidney,2026-02-12 18:08:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,flight
112,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,Heart,2026-02-12 21:30:46,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,flight
113,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,Kidney,2026-02-13 01:01:46,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,flight
114,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,Kidney,2026-02-13 05:49:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,helicopter
115,Singapore General Hospital (Singapore),1.278,103.834,Liver,2026-02-14 03:15:46,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,flight
116,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,Kidney,2026-02-13 07:19:46,Singapore General Hospital (Singapore),1.278,103.834,ambulance
117,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,Kidney,2026-02-13 04:51:46,"West China Hospital (Chengdu, China)",30.65,104.0656,ambulance
118,Singapore General Hospital (Singapore),1.278,103.834,Kidney,2026-02-12 19:55:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,helicopter
119,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,Kidney,2026-02-12 14:24:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,flight
120,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,Kidney,2026-02-13 09:55:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,helicopter
121,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,Lung,2026-02-12 11:06:46,"West China Hospital (Chengdu, China)",30.65,104.0656,flight
122,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,Kidney,2026-02-12 16:29:46,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,ambulance
123,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,Heart,2026-02-12 23:10:46,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,ambulance
124,"West China Hospital (Chengdu, China)",30.65,104.0656,Liver,2026-02-14 01:22:46,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,helicopter
125,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,Kidney,2026-02-12 15:59:46,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,flight
126,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,Lung,2026-02-13 01:56:46,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,flight
127,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,Kidney,2026-02-14 11:01:46,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,flight
128,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,Heart,2026-02-12 11:36:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,flight
129,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,Liver,2026-02-12 19:32:46,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,flight
130,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,Kidney,2026-02-12 11:09:46,"Mayo Clinic (Rochester, USA)",44.0216,-92.4699,ambulance
131,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,Liver,2026-02-12 23:43:46,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,ambulance
132,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,Liver,2026-02-13 03:42:46,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,helicopter
133,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,Kidney,2026-02-13 08:58:46,"The Nairobi Hospital (Nairobi, Kenya)",-1.2961,36.8047,helicopter
134,Singapore General Hospital (Singapore),1.278,103.834,Lung,2026-02-12 15:38:46,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,ambulance
135,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,Kidney,2026-02-13 07:00:46,"West China Hospital (Chengdu, China)",30.65,104.0656,helicopter
136,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,Kidney,2026-02-13 02:52:46,Pakistan Kidney & Liver Institute (Lahore),31.4504,74.2938,flight
137,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,Liver,2026-02-13 20:14:46,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,ambulance
138,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,Lung,2026-02-13 04:38:46,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,flight
139,Singapore General Hospital (Singapore),1.278,103.834,Kidney,2026-02-12 23:34:46,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,helicopter
140,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,Liver,2026-02-13 22:50:46,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,ambulance
141,Singapore General Hospital (Singapore),1.278,103.834,Lung,2026-02-13 10:25:46,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,flight
142,"West China Hospital (Chengdu, China)",30.65,104.0656,Lung,2026-02-14 01:33:46,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,helicopter
143,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,Liver,2026-02-14 05:33:46,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,helicopter
144,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,Liver,2026-02-14 02:23:46,Singapore General Hospital (Singapore),1.278,103.834,helicopter
145,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,Lung,2026-02-14 01:51:46,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,flight
146,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,Liver,2026-02-12 20:38:46,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,flight
147,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,Heart,2026-02-13 17:22:46,"West China Hospital (Chengdu, China)",30.65,104.0656,ambulance
148,"Xijing Hospital (Xi’an, China)",34.3416,108.9398,Heart,2026-02-13 12:03:46,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,ambulance
149,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,Lung,2026-02-12 18:03:46,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,flight
150,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,Liver,2026-02-12 12:23:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,helicopter
151,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,Heart,2026-02-14 04:50:46,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,helicopter
152,Singapore General Hospital (Singapore),1.278,103.834,Heart,2026-02-13 10:50:46,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,ambulance
153,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,Heart,2026-02-13 00:42:46,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,flight
154,"Cedars‑Sinai Transplant Center (LA, USA)",34.0753,-118.3802,Lung,2026-02-12 10:51:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,flight
155,"Royal Papworth Hospital (Cambridge, UK)",52.2053,0.1188,Lung,2026-02-12 14:34:46,"UCSF Health Transplant Program (SF, USA)",37.7631,-122.4586,ambulance
156,"West China Hospital (Chengdu, China)",30.65,104.0656,Heart,2026-02-12 22:04:46,"NYU Langone Transplant Institute (NYC, USA)",40.742,-73.9749,ambulance
157,"Cleveland Clinic (Ohio, USA)",41.5036,-81.6208,Liver,2026-02-13 22:29:46,"Sheba Medical Center (Tel Aviv, Israel)",32.0114,34.8548,helicopter
158,"Gambat Liver Transplant Center (Sindh, Pakistan)",27.7247,68.815,Liver,2026-02-13 19:30:46,"Penn Medicine Transplant Institute (Philadelphia, USA)",39.9526,-75.1932,ambulance
